Date/Time of Report: 3/18/2025 11:35:47,,,,,,,,
Requester: .\experionadmin,,,,,,,,
Filter Applied: Event Time: 1/15/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV01A,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
1/15/2025 23:59:39.335,3100,TI_311003B,PVHH,,J 00,1# fan defrosting temperature detection,-9.58495,°C
1/15/2025 23:59:07.156,3200,LIC_3205,CHANGE,,,PIDA.OP,0,%
1/15/2025 23:59:02.665,3200,PU_3209,CHANGE,,,devctla.gop,S0,
1/15/2025 23:58:35.967,3700,PI_37203,ALARM,ACK PNT,,DEAERATOR PRESSURE,,
1/15/2025 23:58:35.967,3700,PI_37203,PVHH,ACK,,DEAERATOR PRESSURE,,
1/15/2025 23:58:35.967,3700,PI_37203,PVHI,ACK,,DEAERATOR PRESSURE,,
1/15/2025 23:58:34.574,3100,TI_311003B,PVHH,OK,J 00,1# fan defrosting temperature detection,-12.0083,°C
1/15/2025 23:58:31.334,3700,PI_37203,PVHI,,L 00,DEAERATOR PRESSURE,16.0606,KPa
1/15/2025 23:57:48.185,3100,PU_3115,ALARM,ACK PNT,,PU_3115,,
1/15/2025 23:57:48.185,3100,PU_3115,UNCMD,ACK,,PU_3115,,
1/15/2025 23:57:47.500,3000,FI_3001,PVHIGH,,L 00,DW TO TW-3001,50.4904,t/h
1/15/2025 23:57:24.100,3300,PI_3334,PVLOW,,L 00,TW-3301 TOP PRESSURE,0.860727,kPaG
1/15/2025 23:57:01.400,3300,PI_3334,PVLOW,OK,L 00,TW-3301 TOP PRESSURE,2.54149,kPaG
1/15/2025 23:56:42.900,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:56:38.200,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:56:30.400,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:56:22.600,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:56:14.100,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:56:10.200,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:56:00.261,3100,TI_311003A,PVHH,,J 00,1# fan defrosting temperature detection,-8.9972,°C
1/15/2025 23:55:38.700,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:55:34.800,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:55:26.100,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:55:18.500,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:55:00.727,ESV01,File Replication,REPLICATION,,J 00,Filerep #1 replicating.,,
1/15/2025 23:54:46.000,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:54:42.200,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:54:02.000,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:53:56.600,3300,PI_3334,PVLOW,,L 00,TW-3301 TOP PRESSURE,0.773943,kPaG
1/15/2025 23:53:46.700,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:53:33.200,3300,PI_3334,PVLOW,OK,L 00,TW-3301 TOP PRESSURE,2.52123,kPaG
1/15/2025 23:53:18.200,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:53:14.400,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:52:54.300,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:52:50.300,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:52:30.100,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:52:26.200,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:52:14.900,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:52:10.000,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:51:38.600,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:51:34.700,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:51:22.200,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:51:18.300,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:50:54.700,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:50:50.600,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:50:34.400,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:50:30.600,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/15/2025 23:50:24.152,3700,LI_3742,PVHI,,L 00,INTERMEDIATE TANK LEVEL 2,5.875,m
