Date/Time of Report: 3/18/2025 11:35:00,,,,,,,,
Requester: .\experionadmin,,,,,,,,
Filter Applied: Event Time: 1/14/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV01A,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
1/14/2025 23:59:33.217,ESV01,File Replication,REPLICATION,,J 00,Filerep #1 replicating.,,
1/14/2025 23:59:26.400,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/14/2025 23:59:22.500,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/14/2025 23:58:48.551,3700,PI_37203,PVHH,OK,H 00,DEAERATOR PRESSURE,12.91,KPa
1/14/2025 23:58:48.551,3700,LI_3745,PVHI,,L 00,NEUTRALIZE TANK LEVEL,2.87627,m
1/14/2025 23:58:35.530,3700,PI_37203,PVHI,,L 00,DEAERATOR PRESSURE,17.6358,KPa
1/14/2025 23:58:10.900,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/14/2025 23:58:07.111,3700,PI_37203,PVHH,,H 00,DEAERATOR PRESSURE,20.6506,KPa
1/14/2025 23:58:06.300,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/14/2025 23:55:36.238,3700,LI_3744,PVHH,,H 00,INTERMEDIATE TANK LEVEL 1,3.5823,m
1/14/2025 23:54:36.970,3700,PI_3751,PVHI,OK,L 00,FINAL OUTLET WATER PRESSURE,0.882967,Mpa
1/14/2025 23:54:33.591,ESV01,File Replication,REPLICATION,,J 00,Filerep #1 replicating.,,
1/14/2025 23:54:02.336,3700,PI_3743A,PVLO,OK,J 00,CATION BED 1 INLET PRESSURE,0.302734,Mpa
1/14/2025 23:53:30.900,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/14/2025 23:53:26.000,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/14/2025 23:53:14.089,3700,PI_3751,PVHI,,L 00,FINAL OUTLET WATER PRESSURE,0.902498,Mpa
1/14/2025 23:51:58.557,3700,PI_3751,PVHI,OK,L 00,FINAL OUTLET WATER PRESSURE,0.889187,Mpa
1/14/2025 23:50:54.900,3300,LIC_3320,PVLOLO,,H 00,VE-3308 LEVEL,-0.0752956,%
1/14/2025 23:50:54.187,3700,AI_3706,PVHI,,L 00,CIRCULATING WATER ORP,450,mV
1/14/2025 23:50:45.862,3100,TI_311003B,PVHH,OK,J 00,1# fan defrosting temperature detection,-12.0083,°C
1/14/2025 23:50:38.928,3700,PI_3751,PVHI,,L 00,FINAL OUTLET WATER PRESSURE,0.91191,Mpa
