Date/Time of Report: 3/18/2025 11:32:11,,,,,,,,
Requester: .\experionadmin,,,,,,,,
Filter Applied: Event Time: 1/9/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV01A,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
1/9/2025 23:59:56.900,3300,PI_3334,PVLOW,,L 00,TW-3301 TOP PRESSURE,0.360254,kPaG
1/9/2025 23:59:55.700,3100,RE_B_N2_SEA_TO_VAC_LIN_CM,INFORMATION MESSAGE,,,RE-B N2 SEAL TO VACUUM LINE COMPLETION,,
1/9/2025 23:59:53.000,3100,ZL_3184A,OFFNRM,OK,J 00,RE-3101A AGITATOR POSITION INDICATOR,OFF,
1/9/2025 23:59:52.100,3100,ZL_3184A,OFFNRM,,J 00,RE-3101A AGITATOR POSITION INDICATOR,ON,
1/9/2025 23:59:45.100,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/9/2025 23:59:41.000,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/9/2025 23:59:41.300,3200,TI_3201,PVHIGH,,L 00,TW-3201 NO.1 TRAY  TEMPERATURE,110.085,°C
1/9/2025 23:59:40.720,3700,PI_37203,PVHH,OK,H 00,DEAERATOR PRESSURE,12.9915,KPa
1/9/2025 23:59:35.700,3300,PI_3334,PVLOW,OK,L 00,TW-3301 TOP PRESSURE,2.30138,kPaG
1/9/2025 23:59:24.300,3100,FIC_3121A1,PVHIGH,OK,L 00,RE-3101A CW,580.856,m3/h
1/9/2025 23:59:23.000,ESD-PVCIII,FT_3121A1_HA,ALARM,F,J 00,FT-3121A1 HIGH ALARM,NORMAL,
1/9/2025 23:59:23.472,3200,PI_3202,ALARM,ACK PNT,,TW-3201 BOTTOM PRESSURE,,
1/9/2025 23:59:23.472,3200,PI_3202,PVHIHI,ACK,,TW-3201 BOTTOM PRESSURE,,
1/9/2025 23:59:22.612,3100,FIC_3121A1,ALARM,ACK PNT,,RE-3101A CW FLOW CONTROL,,
1/9/2025 23:59:22.612,3100,FIC_3121A1,PVHIGH,ACK,,RE-3101A CW,,
