Date/Time of Report: 3/18/2025 11:33:18,,,,,,,,
Requester: .\experionadmin,,,,,,,,
Filter Applied: Event Time: 1/11/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV01A,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
1/11/2025 23:59:59.200,3100,FI_3128,PVLOW,OK,L 00,DW TO VE-3132,4896.54,kg/h
1/11/2025 23:59:55.400,3100,RE_A_VCM_CHA_CM,INFORMATION MESSAGE,,,RE-A VCM CHARGE START,,
1/11/2025 23:59:51.900,3100,RE_A_CAT_CHA_CM,INFORMATION MESSAGE,,,RE-A CATALYST CHARGE TO REACTOR COMPLETION,,
1/11/2025 23:59:39.900,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/11/2025 23:59:39.074,3100,XV_X3198,CHANGE,,,devctla.gop,S0,
1/11/2025 23:59:38.100,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/11/2025 23:59:37.758,3100,XV_X3198,CHANGE,,,devctla.gop,S0,
1/11/2025 23:59:30.600,3200,TI_3201,PVHIGH,OK,L 00,TW-3201 NO.1 TRAY  TEMPERATURE,108.493,°C
1/11/2025 23:59:30.151,3100,XV_X3198,CHANGE,,,devctla.gop,S1,
1/11/2025 23:59:28.228,3100,XV_X3198,CHANGE,,,devctla.modeattr,OPERATOR,
1/11/2025 23:59:24.700,3100,ZL_3184A,OFFNRM,OK,J 00,RE-3101A AGITATOR POSITION INDICATOR,OFF,
1/11/2025 23:59:11.200,3100,ZL_3184A,OFFNRM,,J 00,RE-3101A AGITATOR POSITION INDICATOR,ON,
1/11/2025 23:59:01.200,3200,TIC_3235,PVLOW,,L 00,HE-3203 OUTLET TEMPERATURE,29.9755,°C
1/11/2025 23:59:00.276,3700,TI_37203,PVHI,,L 00,BOILER FEED WATER TEMPERATURE,153.307,°C
1/11/2025 23:58:57.100,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/11/2025 23:58:56.900,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/11/2025 23:58:54.500,3100,RE_A_CAT_CHA_CM,INFORMATION MESSAGE,,,RE-A DELAY OF CATALYST CHARGE,PLEASE CHECK,,
1/11/2025 23:58:41.500,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:58:32.260,3200,FIC_3204,CHANGE,,,PIDA.OP,75,%
1/11/2025 23:58:29.000,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:58:29.300,3200,LIC_3204,PVHIGH,,L 00,TW-3201 LEVEL,40.5278,%
1/11/2025 23:58:21.089,3200,XV_3211,CHANGE,,,devctla.gop,S0,
1/11/2025 23:58:21.400,3200,LIC_3204,PVLOW,OK,L 00,TW-3201 LEVEL,11.5677,%
1/11/2025 23:58:20.400,3200,PI_3202,PVHIHI,OK,H 00,TW-3201 BOTTOM PRESSURE,47.3219,kPa
1/11/2025 23:58:18.800,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/11/2025 23:58:17.200,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/11/2025 23:58:15.672,ESV01,File Replication,REPLICATION,,J 00,Filerep #1 replicating.,,
1/11/2025 23:58:14.546,3100,TM_311005A,RSHI,,J 00,Defrost procees Timing_2,110,
1/11/2025 23:58:10.300,3100,VE_3118_PRE_MON_CM,INFORMATION MESSAGE,,,GAS LINE N2 CHARGE START,,
1/11/2025 23:58:09.396,3200,XV_3211,CHANGE,,,devctla.gop,S1,
1/11/2025 23:58:05.100,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:58:01.300,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:57:36.800,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/11/2025 23:57:35.300,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/11/2025 23:57:33.800,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:57:33.100,3200,TIC_3235,PVLOW,OK,L 00,HE-3203 OUTLET TEMPERATURE,31.0656,°C
1/11/2025 23:57:25.900,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:57:17.300,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:57:13.700,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:57:03.600,3200,LIC_3204,PVLOW,,L 00,TW-3201 LEVEL,9.62542,%
1/11/2025 23:56:53.700,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/11/2025 23:56:52.500,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/11/2025 23:56:37.600,3100,RE_A_CAT_CHA_CM,INFORMATION MESSAGE,,,RE-ACATALYST CHARGE TO REACTOR START,,
1/11/2025 23:56:36.100,3100,RE_A_WAT_CHA_CM,INFORMATION MESSAGE,,,RE-A WATER CHARGE (CLOSE) COMPLETION,,
1/11/2025 23:56:32.115,3100,P_FL,CHANGE,,,SK2.PVFL,ON,
1/11/2025 23:56:31.900,3200,LIC_3204,PVHIGH,OK,L 00,TW-3201 LEVEL,38.6478,%
1/11/2025 23:56:29.400,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:56:27.400,3100,RE_A_WAT_CHA_CM,INFORMATION MESSAGE,,,RE-A CHECK ABNORMAL SA CHARGE,,
1/11/2025 23:56:24.179,3100,TM_311006A,RSHI,OK,J 00,Drip procees_2,0,
1/11/2025 23:56:24.179,3100,PI_311004A,RSHI,OK,J 00,2# Low pressure sensor,8.90456,bar
1/11/2025 23:56:21.200,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:56:18.232,3100,PI_311004B,RSHI,OK,J 00,2# Low pressure sensor,10.4973,bar
1/11/2025 23:56:18.400,3200,TI_3201,PVHIGH,,L 00,TW-3201 NO.1 TRAY  TEMPERATURE,110.005,°C
1/11/2025 23:56:17.400,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/11/2025 23:56:16.900,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/11/2025 23:56:12.285,3760,TI_3761A,PVLO,OK,L 00,HEATER TEMPRATURE,29.6501,°C
1/11/2025 23:56:06.500,3100,RE_A_WAT_CHA_CM,INFORMATION MESSAGE,,,RE-A FICQ-3004 COUNT OUT,,
1/11/2025 23:56:01.600,3300,FI_3302,PVHIGH,OK,L 00,UT-3301 EXHAUST,19.4115,Nm3/h
1/11/2025 23:56:00.594,3700,PI_37203,PVHI,OK,L 00,DEAERATOR PRESSURE,7.97596,KPa
1/11/2025 23:55:53.900,3200,PI_3202,PVHIHI,,H 00,TW-3201 BOTTOM PRESSURE,50.1266,kPa
1/11/2025 23:55:45.400,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:55:42.549,3100,TM_311006A,RSHI,,J 00,Drip procees_2,110,
1/11/2025 23:55:41.700,3000,FIC_3004,PVLOW,,L 00,DW/HDW TO RE-3101A,B,168.387,t/h
1/11/2025 23:55:37.600,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:55:33.600,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/11/2025 23:55:32.800,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/11/2025 23:55:29.200,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:55:29.300,3300,FI_3302,PVHIHI,OK,H 00,UT-3301 EXHAUST,24.4215,Nm3/h
1/11/2025 23:55:25.100,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:55:20.400,3300,FI_3302,PVHIHI,,H 00,UT-3301 EXHAUST,25.7224,Nm3/h
1/11/2025 23:55:20.300,3300,FI_3302,PVHIGH,,L 00,UT-3301 EXHAUST,25.7224,Nm3/h
1/11/2025 23:55:06.100,3200,TI_3201,PVHIGH,OK,L 00,TW-3201 NO.1 TRAY  TEMPERATURE,108.497,°C
1/11/2025 23:54:57.500,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:54:57.300,3200,TIC_3235,PVLOW,,L 00,HE-3203 OUTLET TEMPERATURE,29.7685,°C
1/11/2025 23:54:49.700,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:54:48.100,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/11/2025 23:54:47.000,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/11/2025 23:54:41.200,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:54:37.400,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:54:37.700,3000,FI_3005,DISABL,,J 00,DW/HDW TO RE-3101A,B,,
1/11/2025 23:54:37.725,3700,PI_37203,PVHH,OK,H 00,DEAERATOR PRESSURE,12.5569,KPa
1/11/2025 23:54:37.300,3000,FIC_3004,DISABL,,J 00,DW/HDW TO RE-3101A,B FLOW CONTROL,,
1/11/2025 23:54:21.400,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:54:14.593,3700,PI_37203,PVHI,,L 00,DEAERATOR PRESSURE,15.1009,KPa
1/11/2025 23:54:13.300,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:54:12.800,3100,VE_3118_PRE_MON_CM,INFORMATION MESSAGE,,,GAS LINE N2 CHARGE START,,
1/11/2025 23:54:05.900,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/11/2025 23:54:04.300,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/11/2025 23:54:01.000,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:53:58.069,3700,PI_37203,PVHH,,H 00,DEAERATOR PRESSURE,16.5494,KPa
1/11/2025 23:53:57.200,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/11/2025 23:53:56.815,3100,PI_311004A,RSHI,,J 00,2# Low pressure sensor,12.2651,bar
1/11/2025 23:53:55.700,3100,RE_A_CAT_CHA_CM,INFORMATION MESSAGE,,,RE-A CATA CHARGE TO MEASURING TANK COMPLETION,,
1/11/2025 23:53:53.449,3100,P_FL,CHANGE,,,SK1.PVFL,ON,
1/11/2025 23:53:52.182,3100,TM_311005A,RSHI,OK,J 00,Defrost procees Timing_2,0,
1/11/2025 23:53:49.000,3100,RE_A_CAT_CHA_CM,INFORMATION MESSAGE,,,RE-A CATALYST CHARGE TO MEASURING TANK COMPLETION  PLEASE PUSH CONFIRMATION SOFT KEY,,
1/11/2025 23:53:48.900,3200,LIC_3204,PVHIGH,,L 00,TW-3201 LEVEL,40.5656,%
1/11/2025 23:53:43.198,3100,XV_3125,CHANGE,,,devctla.gop,S0,
1/11/2025 23:53:38.600,3200,LIC_3204,PVLOW,OK,L 00,TW-3201 LEVEL,12.5021,%
1/11/2025 23:53:35.400,3200,PI_3202,PVHIHI,OK,H 00,TW-3201 BOTTOM PRESSURE,47.2485,kPa
1/11/2025 23:53:35.608,3200,XV_3211,CHANGE,,,devctla.gop,S0,
1/11/2025 23:53:33.684,3100,PI_311004B,RSHI,,J 00,2# Low pressure sensor,15.867,bar
1/11/2025 23:53:25.890,3200,XV_3211,CHANGE,,,devctla.gop,S1,
1/11/2025 23:53:24.700,3200,XV_3211,CHANGE,,,devctla.modeattr,OPERATOR,
