Date/Time of Report: 3/18/2025 11:41:28,,,,,,,,
Requester: .\experionadmin,,,,,,,,
Filter Applied: Event Time: 1/27/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV01A,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
1/27/2025 23:59:57.700,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/27/2025 23:59:49.000,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/27/2025 23:59:46.901,3100,TM_311002A,RSHI,,J 00,Defrost procees Timing_1,110,
1/27/2025 23:59:41.900,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/27/2025 23:59:22.000,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/27/2025 23:59:21.500,3100,RE_A_BLO_CM,INFORMATION MESSAGE,,,RE-A (CLOSE) BATCH FINISHED,,
1/27/2025 23:59:21.700,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/27/2025 23:59:19.500,3100,RE_A_BLO_CM,INFORMATION MESSAGE,,,RE-A BLOWING COMPLETION,,
1/27/2025 23:59:13.400,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/27/2025 23:59:05.100,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/27/2025 23:58:29.600,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/27/2025 23:58:26.000,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/27/2025 23:58:25.900,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/27/2025 23:58:21.300,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/27/2025 23:58:17.600,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/27/2025 23:58:10.500,3300,DEC_WAT_LEV_MON_CM,INFORMATION MESSAGE,,,DECANTER WATER DISCHARGE STOP,,
1/27/2025 23:58:04.600,3100,FIC_3123A,PVLOW,,L 00,DW TO HE-3105A TOP,0,kg/h
1/27/2025 23:57:54.335,3700,PI_3751,PVHI,OK,L 00,FINAL OUTLET WATER PRESSURE,0.691561,Mpa
1/27/2025 23:57:53.271,3100,TM_311002A,RSHI,OK,J 00,Defrost procees Timing_1,0,
1/27/2025 23:57:46.700,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/27/2025 23:57:45.400,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/27/2025 23:57:40.500,3300,DEC_WAT_LEV_MON_CM,INFORMATION MESSAGE,,,DECANTER WATER DISCHARGE START,,
1/27/2025 23:57:33.900,3100,RE_A_NS_LIN_WAS_STO_CM,INFORMATION MESSAGE,,,RE-A NS LINE WASH STOP,,
1/27/2025 23:57:33.100,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/27/2025 23:57:30.700,3100,FIC_3131A,PVLOW,,L 00,DW TO HE-3105A,0,t/h
1/27/2025 23:57:24.300,3300,FI_3302,PVHIGH,OK,L 00,UT-3301 EXHAUST,19.4404,Nm3/h
1/27/2025 23:57:21.300,3100,FIC_3122A,PVLOW,,L 00,DW TO MX-3101A,0.163132,t/h
1/27/2025 23:57:21.100,3100,FIC_3126A,PVLOW,,L 00,DW TO RE-3101A,140.873,kg/h
1/27/2025 23:57:19.900,3100,RE_A_CAT_LIN_WAS_STO_CM,INFORMATION MESSAGE,,,RE-A CATA LINE WASH STOP,,
1/27/2025 23:57:02.700,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/27/2025 23:57:01.900,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
1/27/2025 23:56:43.500,3100,FI_3113,PVLOW,,J 00,DPW TO RE-3101A,B,0,m3/h
1/27/2025 23:56:40.900,3300,FI_3302,PVHIGH,,L 00,UT-3301 EXHAUST,23.7179,Nm3/h
1/27/2025 23:56:25.900,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
1/27/2025 23:56:09.000,3100,ZL_3184B,OFFNRM,OK,J 00,RE-3101B AGITATOR POSITION INDICATOR,OFF,
1/27/2025 23:56:07.100,3100,ZL_3184B,OFFNRM,,J 00,RE-3101B AGITATOR POSITION INDICATOR,ON,
