Date/Time of Report: 3/18/2025 11:51:01,,,,,,,,
Requester: .\experionadmin,,,,,,,,
Filter Applied: Event Time: 2/14/2025,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: ESV01A,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
2/14/2025 23:59:57.100,3200,FI_3218,PVLOW,,H 00,WW SCRUBBER FLOW,106.838,m3/h
2/14/2025 23:59:56.300,3200,SCR_WAT_MON_CM,INFORMATION MESSAGE,,,SCRUBBER CIRCULATION WATER FLOW ABNORMAL,,
2/14/2025 23:59:55.600,3200,FI_3218,PVLOW,OK,H 00,WW SCRUBBER FLOW,124.257,m3/h
2/14/2025 23:59:54.500,3100,FI_3606,PVLOW,,J 00,MS AT B.L,2.95762,t/h
2/14/2025 23:59:42.100,3200,FI_3218,PVLOW,,H 00,WW SCRUBBER FLOW,117.577,m3/h
2/14/2025 23:59:39.100,3100,FI_3606,PVLOW,OK,J 00,MS AT B.L,3.24725,t/h
2/14/2025 23:59:36.100,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/14/2025 23:59:35.200,3100,FI_3606,PVLOW,,J 00,MS AT B.L,2.9935,t/h
2/14/2025 23:59:28.600,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/14/2025 23:59:23.800,3100,ZL_3184A,OFFNRM,OK,J 00,RE-3101A AGITATOR POSITION INDICATOR,OFF,
2/14/2025 23:59:22.900,3100,ZL_3184A,OFFNRM,,J 00,RE-3101A AGITATOR POSITION INDICATOR,ON,
2/14/2025 23:58:56.400,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/14/2025 23:58:52.200,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/14/2025 23:58:51.100,3300,PI_3308,PVLOW,,L 00,RVCM GAS FROM CO-3302-2,0.399228,MPa
2/14/2025 23:58:41.554,ESV01,File Replication,REPLICATION,,J 00,Filerep #1 replicating.,,
2/14/2025 23:58:40.800,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/14/2025 23:58:37.100,3100,ZL_3184A,OFFNRM,OK,J 00,RE-3101A AGITATOR POSITION INDICATOR,OFF,
2/14/2025 23:58:36.800,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/14/2025 23:58:36.500,3100,ZL_3184A,OFFNRM,,J 00,RE-3101A AGITATOR POSITION INDICATOR,ON,
2/14/2025 23:58:36.300,3100,FI_3606,PVLOW,OK,J 00,MS AT B.L,3.23214,t/h
2/14/2025 23:58:36.300,3100,RE_A_BLO_CM,INFORMATION MESSAGE,,,RE-A BLOWING START,,
2/14/2025 23:58:34.500,3100,FI_3606,PVLOW,,J 00,MS AT B.L,2.99498,t/h
2/14/2025 23:58:26.179,3100,RE_A_BLO_CM,CHANGE,,,SK.PVFL,ON,
2/14/2025 23:58:18.162,3100,XV_3179,ALARM,ACK PNT,,DPW TO VE-3116,,
2/14/2025 23:58:18.162,3100,XV_3179,CMDDIS,ACK,,DPW TO VE-3116,,
2/14/2025 23:58:18.162,3100,FIC_3131A,ALARM,ACK PNT,,DW TO HE-3105A FLOW CONTROL,,
2/14/2025 23:58:18.162,3100,FIC_3131A,PVLOW,ACK,,DW TO HE-3105A,,
2/14/2025 23:58:15.100,3100,FI_3606,PVLOW,OK,J 00,MS AT B.L,3.21835,t/h
2/14/2025 23:58:10.900,3100,FI_3606,PVLOW,,J 00,MS AT B.L,2.98904,t/h
2/14/2025 23:58:00.200,3100,FI_3606,PVLOW,OK,J 00,MS AT B.L,3.32976,t/h
2/14/2025 23:57:58.300,3100,ZL_3184A,OFFNRM,OK,J 00,RE-3101A AGITATOR POSITION INDICATOR,OFF,
2/14/2025 23:57:57.600,3100,ZL_3184A,OFFNRM,,J 00,RE-3101A AGITATOR POSITION INDICATOR,ON,
2/14/2025 23:57:52.000,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/14/2025 23:57:52.300,3100,SLU_TRA_CM,INFORMATION MESSAGE,,,SLURRY TRANSFER COMPLERION,,
2/14/2025 23:57:49.700,3100,FI_3606,PVLOW,,J 00,MS AT B.L,2.99795,t/h
2/14/2025 23:57:48.200,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/14/2025 23:57:41.600,3300,PI_3308,PVLOW,OK,L 00,RVCM GAS FROM CO-3302-2,0.410021,MPa
2/14/2025 23:57:39.000,3100,FI_3606,PVLOW,OK,J 00,MS AT B.L,3.21143,t/h
2/14/2025 23:57:32.800,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/14/2025 23:57:28.200,3200,TI_3226,ROCPOS,,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/14/2025 23:57:20.400,3200,TI_3226,ROCPOS,OK,J 00,DR-3201 MIDDLE TEMPERATURE,,
2/14/2025 23:57:20.300,3100,FI_3606,PVLOW,,J 00,MS AT B.L,2.99647,t/h
